Unique ID = 	Higgins00010002Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Graziano's Restaurant	Business Website = 	https://www.grazianosgroup.com	Business Type = 	"Restaurant
market"	Offering = 	"They offer dit down dining, event planning and catering"								
Unique ID = 	Higgins00010003Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Bouchon Bistro	Business Website = 	https://www.thomaskeller.com/coral-gables-florida/bouchon-bistro	Business Type = 	Restaurant	Offering = 	French Bistro that occupies the historic La Palma building constructed in 1924								
Unique ID = 	Higgins00010004Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Doc B's Restaurant	Business Website = 	https://www.docbsrestaurant.com/locations/coral-gables	Business Type = 	Restaurant	Offering = 	"Restaurant offering various options for dining and takeout including but not limited to burgers, pizza, and brunch/ breakfast options"								
Unique ID = 	Higgins00010005Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Craft Coral Gables	Business Website = 	https://www.craftmiami.us	Business Type = 	Restaurant	Offering = 	Dog friendly restaurant offering Breakfast and other options for sit in dining.								
Unique ID = 	Higgins00010006Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Season 52	Business Website = 	https://www.seasons52.com/locations/fl/coral-gables/coral-gables/4509?cmpid=br:s52_ag:ie_ch:dry_ca:S52GMB_sn:gmb_gt:coral-gables-fl-4509_pl:locurl_rd:1008	Business Type = 	Restaurant	Offering = 	New American restaurant with a selection of international wines for a fine dining experience								
Unique ID = 	Higgins00010007Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Fleming’s Prime Steakhouse & Wine Bar	Business Website = 	https://www.flemingssteakhouse.com/locations/fl/miami-coral-gables?y_source=1_MTU1MDMxNjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D	Business Type = 	"Bar
Restaurant"	Offering = 	Prime steakhouse offering fine dining								
Unique ID = 	Higgins00010008Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Tap 42 Craft Kitchen & Bar	Business Website = 	https://tap42.com/locations/coral-gables/	Business Type = 	"Bar
Restaurant"	Offering = 	"Restaurant and bar space offering dozens of craft beers on draft, plus creative burgers & cocktails."								
Unique ID = 	Higgins00010009Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Khaosan Road Coral Gables	Business Website = 	https://www.khaosan-road.com	Business Type = 	Restaurant	Offering = 	Thai restaurant offering a unique space								
Unique ID = 	Higgins00010010Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Bulla Gastrobar	Business Website = 	https://bullagastrobar.com/locations/coral-gables/	Business Type = 	"Bar
Restaurant"	Offering = 	"Contemporary bar with made-to-order sangrias, plus Spanish & Catalan small plates."								
Unique ID = 	Higgins00010011Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Rice Mediterranean Kitchen	Business Website = 	https://order.ricekitchen.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18386774378044203255	Business Type = 	Restaurant	Offering = 	"Grilled meat, chicken & fish top the Persian menu at this colorful counter-serve local chain."								
Unique ID = 	Higgins00010012Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Mamey Miami	Business Website = 	https://mameymiami.com	Business Type = 	Restaurant	Offering = 	"Chic farm-to-table restaurant serving clever cuisine with Asian, Caribbean & Polynesian influences."								
Unique ID = 	Higgins00010013Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	TUR Kitchen	Business Website = 	https://www.turkitchen.com	Business Type = 	Restaurant	Offering = 	"Inspired from a rich and vibrant Mediterranean basin, which encompasses such diverse destinations and culinary hotbeds as Southern France, Spain, Italy, Greece, Lebanon, Israel, Türkiye, and Northern Africa."								
Unique ID = 	Higgins00010014Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Hillstone	Business Website = 	https://hillstonerestaurant.com/locations/coralgables/	Business Type = 	Restaurant	Offering = 	"Upscale chain eatery serving burgers, steaks & other American fare in stylish, spacious surrounds."								
Unique ID = 	Higgins00010015Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Fiola Miami	Business Website = 	https://www.fiolamiami.com	Business Type = 	Restaurant	Offering = 	"Sophisticated bistro presenting handmade pastas, seafood & other Italian specialties."								
Unique ID = 	Higgins00010016Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Eating House Miami	Business Website = 	https://eatinghousemiami.com	Business Type = 	Restaurant	Offering = 	"Menu of eclectic, locally sourced dishes in a low-key interior with graffiti art."								
Unique ID = 	Higgins00010017Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Lion & The Rambler	Business Website = 	http://www.lionandtherambler.com	Business Type = 	Restaurant	Offering = 	A modern American restaurant serving an ever-evolving seasonal menu showcasing our relationships with the best farmers and purveyors in the country								
Unique ID = 	Higgins00010018Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Caffe Italia	Business Website = 	https://caffeitaliacoralgables.net	Business Type = 	Restaurant	Offering = 	"Intimate fixture with a warm ambiance serving homemade pastas & other Italian eats, plus many wines."								
Unique ID = 	Higgins00010019Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Vinya Table	Business Website = 	https://vinyawine.com/coral-gables	Business Type = 	"Bar
Restaurant"	Offering = 	"Inspired by Latin roots, European travels, and Florida produce, this New American menu offers deliciousness for every type of palate including various wine and drink options"								
Unique ID = 	Higgins00010020Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Cvi.che 105	Business Website = 	https://ceviche105.squarespace.com/reservations	Business Type = 	Restaurant	Offering = 	Miami's Peruvian food pioneer								
Unique ID = 	Higgins00010021Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Fogo de Chão	Business Website = 	https://fogodechao.com	Business Type = 	Restaurant	Offering = 	Fogo de Chão is a Brazilian chain of rodízio-style steakhouses								
Unique ID = 	Higgins00010022Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Tullio	Business Website = 	https://tulliomiami.com	Business Type = 	Restaurant	Offering = 	"Tullio is the culmination of ambience and culinary arts, assembled by friendly detailed service and accompanied by an Italian forward wine list carefully curated through years of Lucio’s vineyard travels and visits"								
Unique ID = 	Higgins00010023Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Motek Coral Gables	Business Website = 	https://motekcafe.com/coral-gables/	Business Type = 	Restaurant	Offering = 	"A family-owned Eastern Mediterranean offering Israeli, Lebanon, Morocco and Yemen dishes. The menu boasts an All Day Brunch section with standouts like the Shakshuka, Hummus Shakshuka, and Jerusalem Grilled Cheese; a variety of Hummus options made daily in small batches to preserve freshness; extensive Cold & Hot Mezzes offerings"								
