Unique ID = 	Higgins00010224Public	City = 	NRA	Area = 	Chicago	Business Name = 	Ajinomoto Foods North America	Business Website = 	http://www.ajinomotofoodservice.com	Business Type = 	Food/Beverage Manufacturing Grocery/Convenience Store(Gas Station) Grocery/Convenience Store(No Gas Station) Hotels/Motels(Casino)	Offering = 	"Ajinomoto Foods North America makes it easy to menu the flavors of the world with premium frozen appetizers, handhelds, entrees, and sides. With trusted industry brands that save time and labor, our products meet the needs of every operation. With products in the Appetizer, Latin/Mexican, Asian, and Chili categories, we offer a wide breadth of diverse products, flavors and platforms that serve an extensive range of operators and consumers."								
Unique ID = 	Higgins00010225Public	City = 	NRA	Area = 	Chicago	Business Name = 	Anchor Packaging	Business Website = 	https://www.anchorpackaging.com	Business Type = 	Food/Beverage Manufacturing Grocery/Convenience Store(Gas Station) Grocery/Convenience Store(No Gas Station) Hotels/Motels(Casino)	Offering = 	"Manufacturer of the only packages to keep food hot & crispy for 30 minutes in transit from kitchen to table. Packaging solutions to ensure your food arrives the way the chef intended and increases repeat sales. Hinged or separate bases and lids with clear, no-fog lids keep food fresh & appealing. CRISP FOOD TECHNOLOGIES� containers have a unique, patented, convection cross-flow design to relieve moisture and condensation while maintaining the temperature, taste, and texture of fried foods. CULINARY TAMPER SAFE� keeps hot foods secure, and SAFE PINCH� TAMPER-EVIDENT containers with an intuitive one-step pinch-to-open design are ideal for fresh salads, cut fruits, and many chilled or ambient foods. Cater meals of any size with ANCHORWARE� REUSABLES clear bases and lids. Alternatives to foam and other single-use packages are available in various sizes, shapes, and colors. Anchor Packaging is one of the largest thermoformers in North America, best known for award-winning product designs and custom capabilities, with over 500 stock rigid packages and cling film wraps."								
Unique ID = 	Higgins00010226Public	City = 	NRA	Area = 	Chicago	Business Name = 	Aniai	Business Website = 	https://www.aniai.ai/	Business Type = 	*Industry: Food & Hospitality	Offering = 	"The unique strengths of Aniai�s _Kitchen can be stated that it can quickly produce high quality of food through Robotic kitchen with cognitive/control technology and AI operating system, and that it can be applied as a B2B solution to existing restaurants of various brand companies. _Kitchen (Robotic kitchen), which is applied with cognitive/control technology, quickly repeats simple movements according to the recipe and it cook efficiently to produce food. Unlike human being, it is not exhausted, therefore, it can produce high qualified and uniform food during 24 hours per day. _Kitchen is designed to combine robot module for each ingredients; thus, it has the ability of producing various menus among different brands. It would be easily applied to existing restaurants of various brands. _Cloud (Operating system), applied AI Technology, manage the cooking status of ingredients while making foods through the food quality assurance system in real time. It is guaranteed to maintain the same quality and taste of food produced by _Kitchen. In addition, �Smart Inventory Management System� is able to manage Sales, Production, and Inventory in real time and..."								
Unique ID = 	Higgins00010227Public	City = 	NRA	Area = 	Chicago	Business Name = 	Anthony & Sons Bakery	Business Website = 	www.anthonyandsonsbakery.com	Business Type = 	Bakery	Offering = 	"Anthony and sons is excited to unveil our latest innovation. Our New �Avocado Seeds & Grains Bread, Ciabatta Bun, Bagel, Dinner Rolls & Take & Bake Italian bread� All made with FRESH Avocado & Guacamole Spice! We have proven to be the leader in innovation and has transformed the bread-baking industry with their EZ Freezer to Oven� line. We are one of today�s largest suppliers of_breads and rolls throughout the country, with our 65,000 sq. ft. fully automated production plant & headquarters located in Denville NJ. All product is made in the USA with our European heritage. Our commitment to excellence in baking is demonstrated in everything we do."								
Unique ID = 	Higgins00010228Public	City = 	NRA	Area = 	Chicago	Business Name = 	Apex Order Pickup Solutions	Business Website = 	https://apexorderpickup.com/	Business Type = 	Distribution	Offering = 	"It�s never been easier to redefine order pickup and make it fast, secure and efficient. Apex smart order pickup solutions let your customers skip the line and pick up in seconds. Meanwhile, your employees optimize labor and increase throughput, while you get actionable data insights to help optimize at a single location or across our enterprise. You'll find Apex solutions everywhere from restaurants to universities, from sports arenas to cinemas, and from airports to businesses. Find out how Apex makes order pickup more convenient, efficient - and profitable. See them at ApexOrderPickup.com"								
Unique ID = 	Higgins00010229Public	City = 	NRA	Area = 	Chicago	Business Name = 	Association Kiosk Manufacturers	Business Website = 	https://kioskindustry.org	Business Type = 	Restaurant	Offering = 	"Are you looking for restaurant kiosk technology?  We'll show kiosk iteractions for Clover POS, Square and Samsung VXT menu board integration. An AI Assist customizable toolkit comes with the kiosks to utilize AI. Transparent 24"" OLEDs for self-ordering? See the new kiosks from Pyramid that will be on display. Also the new Swift allows you to upgrade at any time from a 22 inch to 24 to 27 inch touchscreen. Self-order restaurant kiosks, drive-thru menu-boards, robotic servers, lockers, curbside pickup, line-busting tablets for drive-through, headsets for employees , smart vending, contactless, self order kiosks and digital signage outdoor displays. Payment systems include facial recognition pay-by-face, SMS and others. PCI and EMV technology for future-proof installations. ADA and accessibility information which extends from kiosks to your mobile ordering and website online ordering and currently deployed by McDonald's. Free in-depth market research to qualified companies."								
Unique ID = 	Higgins00010230Public	City = 	NRA	Area = 	Chicago	Business Name = 	Atarraya Inc	Business Website = 	https://www.aguablancaseafood.com/	Business Type = 	Specialty Food(Seafood)	Offering = 	"Agua Blanca Shrimp revolutionizes shrimp farming with its sustainable, indoor ShrimpboxTM technology. Offering fresh, never-frozen shrimp, this product is distinguished by its sweet flavor, superior texture, and environmentally responsible production. Agua Blanca sets a new standard for fresh, sustainable, and local protein in the U.S. market."								
Unique ID = 	Higgins00010231Public	City = 	NRA	Area = 	Chicago	Business Name = 	"Atosa USA, Inc."	Business Website = 	http://www.atosausa.com	Business Type = 	*Industry: Retail Sales	Offering = 	"Atosa is a major manufacturer of commercial kitchen equipment, with a breadth of offering including refrigeration, cooking equipment, warming/holding equipment, stainless steel fabrication equipment, and much more. In addition to the food service industry, Atosa markets worldwide to businesses whose kitchen equipment requirements are very demanding, such as: schools, hotels, restaurants, markets and other commercial institutions. To meet our customers� immediate needs, we maintain a large variety of inventory in our corporate warehouses located in California, Colorado, Texas, Ohio, Florida, Georgia, Illinois, New Jersey, and Washington. As a growing company, we are constantly expanding our product lines to meet the growing demands of the food service industry; so new products are currently under development and will be available to our customers in the near future. Every stage of the manufacturing process, including engineering, design, and fabrication, is done in-house by our qualified and experienced personnel to guarantee our quality standards are always upheld. Atosa has made substantial investments in state-of-the-art manufacturing equipment, introduced international advanced technologies, and prior to shipping, all products must pass an intense series of tests to ensure that every one of our units exceeds the highest quality standards. We aim to provide our customers with exactly what they want and need in their professional kitchen and as such, we keep in mind all of the people that use our equipment on a day-to-day basis. This allows us to create products that offer real value to our customers and can help keep their operations running smoothly, efficiently, and effectively. Our world-class manufacturing facilities and highly skilled employees, combined with our innovative manufacturing procedures ensure that our customers always receive top-quality products at economical prices. We have built our reputation on service, quality, and price! For additional information, please visit our website at www.atosausa.com"								
Unique ID = 	Higgins00010232Public	City = 	NRA	Area = 	Chicago	Business Name = 	"Avocados From Mexico, Inc."	Business Website = 	http://avocadosfrommexico.com/Index.aspx	Business Type = 	Specialty Food(Fruit/Vegetables)	Offering = 	"Guac Heaven is a Place on Earth! You�re invited to experience Guac Heaven by Avocados From Mexico. Learn how FRESH is Always Good!_ With a focus on creativity, culinary innovation, and client partnership, Avocados From Mexico brings you the perfect ways to showcase how fresh guacamole can expand across menus, dayparts, and cuisine types, bringing to life the endless opportunities for foodservice menus. Experience FRESH from the experts and book a VIP tasting, seating is limited! SATURDAY, MAY 18TH: IAN RAMIREZ Founder of Mad Honey Culinary Studio, Culinary Strategist SUNDAY, MAY 19TH: PATI JINICH James Beard award-winning chef, author and PBS TV host of Pati's Mexican Table. Receive a SIGNED cookbook! *While supplies last. MONDAY, MAY 20TH: NATE WEIR VP of Culinary for Modern Market TUESDAY, MAY 21ST: FRESH AVO OPERATIONS for High-volume, Multi-unit Chains"								
Unique ID = 	Higgins00010233Public	City = 	NRA	Area = 	Chicago	Business Name = 	"AyrKing, LLC."	Business Website = 	http://www.ayrking.com	Business Type = 	*Industry: Food & Hospitality	Offering = 	"At AyrKing, we engineer and manufacture food preparation equipment and cooking accessories that make foodservice operations more efficient and profitable. We understand that each operator's needs vary based on their menu, kitchen size, layout and workflow. That's why we tailor our food prep equipment to solve our customers' unique challenges. At AyrKing there is no ""one-size-fits-all"" approach - only a ""can-do"" attitude."								
Unique ID = 	Higgins00010234Public	City = 	NRA	Area = 	Chicago	Business Name = 	Better Balance	Business Website = 	https://www.betterbalancefoods.com/	Business Type = 	Specialty Food(Fruit/Vegetables)	Offering = 	"At Better Balance we elevate plant-curious individuals by providing healthy proteins to fuel their everyday through plant-based alternatives that don�t sacrifice flavor, nutrition, or the experience of food they love. Whether you are reducetarian, flexitarian, vegetarian, vegan or simply trying to eat healthier, at Better Balance we offer healthy plant-based products that taste delicious. Let�s find a Better Balance for YOU. Be Bold. Be Blissful. Be Boundless. Be Better Balance! #OnTheWayToABetterLife"								
